"","X1","FECHA","NOMBRE_DIA","FESTIVO"
"246",246,"9/3/2014","MIERCOLES","0"
"247",247,"9/4/2014","JUEVES","0"
"248",248,"9/5/2014","VIERNES","0"
"249",249,"9/6/2014","SÁBADO","0"
"250",250,"9/7/2014","DOMINGO","0"
"251",251,"9/8/2014","LUNES","0"
"252",252,"9/9/2014","MARTES","0"
"253",253,"9/10/2014","MIERCOLES","0"
"254",254,"9/11/2014","JUEVES","0"
"255",255,"9/12/2014","VIERNES","0"
"256",256,"9/13/2014","SÁBADO","0"
"257",257,"9/14/2014","DOMINGO","0"
"258",258,"9/15/2014","LUNES","0"
"259",259,"9/16/2014","MARTES","0"
"260",260,"9/17/2014","MIERCOLES","0"
"261",261,"9/18/2014","JUEVES","0"
"262",262,"9/19/2014","VIERNES","0"
"263",263,"9/20/2014","SÁBADO","SVT"
"264",264,"9/21/2014","DOMINGO","0"
"265",265,"9/22/2014","LUNES","0"
"266",266,"9/23/2014","MARTES","0"
"267",267,"9/24/2014","MIERCOLES","0"
"268",268,"9/25/2014","JUEVES","0"
"269",269,"9/26/2014","VIERNES","0"
"270",270,"9/27/2014","SÁBADO","0"
"271",271,"9/28/2014","DOMINGO","0"
"272",272,"9/29/2014","LUNES","0"
"273",273,"9/30/2014","MARTES","0"
"274",274,"10/1/2014","MIERCOLES","0"
"275",275,"10/2/2014","JUEVES","0"
"276",276,"10/3/2014","VIERNES","0"
"277",277,"10/4/2014","SÁBADO","0"
"278",278,"10/5/2014","DOMINGO","0"
"279",279,"10/6/2014","LUNES","0"
"280",280,"10/7/2014","MARTES","0"
"281",281,"10/8/2014","MIERCOLES","0"
"282",282,"10/9/2014","JUEVES","0"
"283",283,"10/10/2014","VIERNES","0"
"284",284,"10/11/2014","SÁBADO","0"
"285",285,"10/12/2014","DOMINGO","0"
"286",286,"10/13/2014","LUNES","2"
"287",287,"10/14/2014","MARTES","0"
"288",288,"10/15/2014","MIERCOLES","0"
"289",289,"10/16/2014","JUEVES","0"
"290",290,"10/17/2014","VIERNES","0"
"291",291,"10/18/2014","SÁBADO","0"
"292",292,"10/19/2014","DOMINGO","0"
"293",293,"10/20/2014","LUNES","0"
"294",294,"10/21/2014","MARTES","0"
"295",295,"10/22/2014","MIERCOLES","0"
"296",296,"10/23/2014","JUEVES","0"
"297",297,"10/24/2014","VIERNES","0"
"298",298,"10/25/2014","SÁBADO","0"
"299",299,"10/26/2014","DOMINGO","0"
"300",300,"10/27/2014","LUNES","0"
"301",301,"10/28/2014","MARTES","0"
"302",302,"10/29/2014","MIERCOLES","0"
"303",303,"10/30/2014","JUEVES","0"
"304",304,"10/31/2014","VIERNES","HWN"
"305",305,"11/1/2014","SÁBADO","0"
"306",306,"11/2/2014","DOMINGO","0"
"307",307,"11/3/2014","LUNES","2"
"308",308,"11/4/2014","MARTES","0"
"309",309,"11/5/2014","MIERCOLES","0"
"310",310,"11/6/2014","JUEVES","0"
"311",311,"11/7/2014","VIERNES","0"
